"REALFULLNAME","Quantity","CodeSup","BarCode","Name of Item","Weight","Supplier Cost","Selling Price","PackSize","Type of Item","SubType","ReStock Quantity","Replenishment Amount","SupplierName","ProfitOnReturn","TaxRate","TotalQuantitySold7Days","TotalQuantitySold14Days","TotalQuantitySold30Days","LastSoldDate","TotalQuantitySold"
"Woodland Woodflakes Handy Pack","2","-","5390410300247","Woodland Woodflakes Handy Pack","0","1.56","3.65","1","Small Animal","Bedding","8","12","Ace Athy","47.43","23","0","1","2","13/11/2017 11:15:59","2"
"Woodlands Barley Straw Handy Pack","1","-","5390410300223","Woodlands Barley Straw Handy Pack","0","0.91","2.95","1","Small Animal","Bedding","1","3","Ace Athy","62.06","23","0","1","1","14/11/2017 12:21:39","1"
"Woodlands Barley Straw Large","1","-","5390410300322","Woodlands Barley Straw Large","0","3.25","6.5","1","Small Animal","Bedding","3","6","Ace Athy","38.5","23","0","0","1","04/11/2017 16:14:28","1"
"Woodlands Meadow Hay Handy Pack","1","-","5390410300230","Woodlands Meadow Hay Handy Pack","0","1.12","3.5","1","Small Animal","Bedding","2","12","Ace Athy","60.64","23","1","1","1","17/11/2017 11:49:48","1"
"Woodlands Meadow Hay Large Pack","0","AC021","5390410300339","Woodlands Meadow Hay Large Pack","0","2.8","6.5","1","Small Animal","Bedding","-1","3","Ace Athy","47.02","23","0","0","1","06/11/2017 15:25:47","1"
"Woodlands Wood Flakes Large Pack","2","-","5390410300346","Woodlands Wood Flakes Large Pack","0","3.16","7.5","1","Small Animal","Bedding","2","10","Ace Athy","48.18","23","0","0","0","01/01/1900 00:00:00","0"
"Ancol Rabbit Harness And Lead","2","-","5016646164056","Ancol Rabbit Harness And Lead","0","2.29","6.95","1","Small Animal","Small Animal Leads/Harness","1","1","Glenkrag","59.47","23","0","0","0","01/01/1900 00:00:00","0"
"Ancol Small Animal Clippers","2","An164400","5016646016447","Ancol Small Animal Clippers","0","2.9","7.5","1","Small Animal","Small Animal Grooming","1","2","Glenkrag","52.44","23","0","0","0","01/01/1900 00:00:00","0"
"Ancol Small Animal Slicker Brush","2","AN164200","5016646016423","Ancol Small Animal Slicker Brush","0","3.06","7.5","1","Small Animal","Small Animal Grooming","1","2","Glenkrag","49.82","23","0","0","0","01/01/1900 00:00:00","0"
"Ancol Small Pets Bristle Brush","2","AN164102","5016646641021","Ancol Small Pets Bristle Brush","0","2.67","6.5","1","Small Animal","Small Animal Grooming","1","2","Glenkrag","49.48","23","0","0","0","01/01/1900 00:00:00","0"
"Ancol Small Pets Double Sided Comb","2","AN164202","5016646642028","Ancol Small Pets Double Sided Comb","0","2.67","6.5","1","Small Animal","Small Animal Grooming","1","2","Glenkrag","49.48","23","0","0","0","01/01/1900 00:00:00","0"
"Cheeko Non Tip Plastic Bowl Hamster 8cm","2","ED2061","5022099020610","Cheeko Non Tip Plastic Bowl Hamster 8cm","0","0.93","2.5","1","Small Animal","Bowls","1","2","Glenkrag","54.24","23","0","0","0","01/01/1900 00:00:00","0"
"Cheeko Non Tip Plastic Bowl Mouse 6cm","2","ED2060","5022099020603","Cheeko Non Tip Plastic Bowl Mouse 6cm","0","0.73","1.95","1","Small Animal","Bowls","1","2","Glenkrag","53.95","23","0","0","0","01/01/1900 00:00:00","0"
"Cheeko Non Tip Plastic Bowl Rabbit 13cm","2","ED2062","5022099020627","Cheeko Non Tip Plastic Bowl Rabbit 13cm","0","1.59","3.95","1","Small Animal","Bowls","1","2","Glenkrag","50.49","23","0","0","0","01/01/1900 00:00:00","0"
"Cheeko Roller Ball 7"" Blue","1","Ed2003","5022099320031","Cheeko Roller Ball 7"" Blue","0","3.38","8.95","1","Small Animal","","1","1","Glenkrag","53.55","23","0","0","0","01/01/1900 00:00:00","0"
"Cheeko Roller Ball 7"" Red","1","Ed2004","5022099320048","Cheeko Roller Ball 7"" Red","0","3.66","8.95","1","Small Animal","","1","1","Glenkrag","49.7","23","0","0","0","01/01/1900 00:00:00","0"
"Critters Choice Chube Large","1","UN34112A","5023556341125","Critters Choice Chube Large","0","2.28","5.85","1","Small Animal","Toy","1","1","Glenkrag","52.06","23","0","0","0","01/01/1900 00:00:00","0"
"Critters Choice Chube Medium","1","UN34108","5023556341088","Critters Choice Chube Medium","0","1.83","4.55","1","Small Animal","Toy","1","1","Glenkrag","50.53","23","0","0","0","01/01/1900 00:00:00","0"
"Critters Choice Chube Small","1","UN34106","5023556341064","Critters Choice Chube Small","0","1.32","3.3","1","Small Animal","Toy","1","1","Glenkrag","50.8","23","0","0","0","01/01/1900 00:00:00","0"
"Critters Choice Chube XL","0","UN34115","5023556341156","Critters Choice Chube XL","0","4.34","10.85","1","Small Animal","Toys","-1","3","Glenkrag","50.8","23","1","1","1","20/11/2017 15:34:04","1"
"Johnsons Hamster & Gerbil Fruity Stick 45g","1","JVL008","5000476120085","Johnsons Hamster & Gerbil Fruity Stick 45g","0","0.73","1.85","1","Small Animal","Treat","4","3","Glenkrag","51.46","23","0","0","0","01/01/1900 00:00:00","0"
"Johnsons Hamster & Gerbil Harvest Feast 70g","1","JVL006","5000476120061","Johnsons Hamster & Gerbil Harvest Feast 70g","0","0.63","1.6","1","Small Animal","Treat","4","3","Glenkrag","51.57","23","0","0","0","01/01/1900 00:00:00","0"
"Johnsons Hamster & Gerbil Nutty Honey Treat 50g","-1","JVL004","5000476120047","Johnsons Hamster & Gerbil Nutty Honey Treat 50g","0","0.73","1.85","1","Small Animal","Treat","4","3","Glenkrag","51.46","23","2","2","2","22/11/2017 14:00:48","2"
"Johnsons Rabbit Fruity Bowl 180g","1","JVL046","5000476120467","Johnsons Rabbit Fruity Bowl 180g","0","1.3","3.25","1","Small Animal","Treat","4","3","Glenkrag","50.8","23","0","0","0","01/01/1900 00:00:00","0"
"Johnsons Rabbit Fruity Stick 45g","35","J/L012","5000476120122","Johnsons Rabbit Fruity Stick 45g","0","0.62","1.75","1","Small Animal","Treat","4","28","Glenkrag","56.42","23","0","1","1","11/11/2017 16:55:09","1"
"Johnsons Rabbit Harvest Munch 70g","1","JVL010","5000476120108","Johnsons Rabbit Harvest Munch 70g","0","0.55","1.4","1","Small Animal","Treat","4","3","Glenkrag","51.68","23","0","0","0","01/01/1900 00:00:00","0"
"Johnsons Supreme Rabbit Mix 2.25kg","2","Jh315net","5026132008399","Johnsons Supreme Rabbit Mix 2.25kg","0","3.35","5.95","1","Small Animal","Food","-1","3","Glenkrag","30.75","23","0","0","0","01/01/1900 00:00:00","0"
"Kaytee Run-About Ball 5""","1","SPP61357","045125613575","Kaytee Run-About Ball 5""","0","4.66","7.95","1","Small Animal","Toy","1","1","Glenkrag","27.9","23","0","0","0","01/01/1900 00:00:00","0"
"Natures Own Barley Straw Large","4","-","5050030000018","Natures Own Barley Straw Large","0","2.63","6","1","Small Animal","Bedding","-1","3","Glenkrag","46.09","23","0","0","0","01/01/1900 00:00:00","0"
"Petlife Small Animal Fluff Bedding","3","VBF100","5023620000712","Petlife Small Animal Fluff Bedding","0","0.72","1.9","1","Small Animal","Bedding","3","6","Glenkrag","53.39","23","0","0","0","01/01/1900 00:00:00","0"
"Selective Ferret Feed 350g","1","SR5610NET","5015622204625","Selective Ferret Feed 350g","0","1.56","3.89","1","Small Animal","Food","1","1","glenkrag","50.67","23","0","0","0","01/01/1900 00:00:00","0"
"Superpet Salt Savors 4 pack","1","SPP61156","45125611564","Superpet Salt Savors 4 pack","0","1.68","4.5","1","Small Animal","Treat","1","1","Glenkrag","54.08","23","0","0","0","01/01/1900 00:00:00","0"
"Supreme Petfoods Limited Selective Timothy Hay 400g","3","-","5015622210749","Supreme Petfoods Limited Selective Timothy Hay 400g","0","2.2","5.95","1","Small Animal","Food","1","3","Glenkrag","54.52","23","0","0","1","07/11/2017 13:03:32","1"
"Supreme Selective Rabbit Pellet 1.5kg","1","Sr4111net","5015622204403","Supreme Selective Rabbit Pellet 1.5kg","0","3.21","5.95","4","Small Animal","Food","2","4","Glenkrag","33.64","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Gerri Gerbil 850g","6","SR5411NET","5015622204854","Tiny Friends Farm Gerri Gerbil 850g","0","1.98","4","1","Small Animal","Food","2","4","Glenkrag","39.12","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Gerty Guinea Pig  Tasty Mix 12.5kg","1","SR1112NET","5015622202225","Tiny Friends Farm Gerty Guinea Pig  Tasty Mix 12.5kg","0","14.95","24.95","1","Small Animal","Food","-1","3","Glenkrag","26.3","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Gerty Guinea Pig 2.5kg","5","SR3211NET","5015622204892","Tiny Friends Farm Gerty Guinea Pig 2.5kg","0","3.67","7.95","1","Small Animal","Food","3","4","Glenkrag","43.22","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Harry Hamster 700g","4","Sr5314net","5015622207886","Tiny Friends Farm Harry Hamster 700g","0","1.26","3","1","Small Animal","Food","2","4","Glenkrag","48.34","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Russel Rabbit Crunchers 120g","4","-","730582205455","Tiny Friends Farm Russel Rabbit Crunchers 120g","0","1.75","3.5","1","Small Animal","Treat","4","4","Glenkrag","38.5","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Russel Rabbit Original 2.5kg","7","SR3111NET","5015622204878","Tiny Friends Farm Russel Rabbit Original 2.5kg","0","3.36","5.95","1","Small Animal","Food","4","8","Glenkrag","30.54","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Russel Rabbit Tasty Mix 12.5kg","2","SR1112NET","5015622207787","Tiny Friends Farm Russel Rabbit Tasty Mix 12.5kg","0","14.95","24.95","1","Small Animal","Food","-1","3","Glenkrag","26.3","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Stickles Hay & Herb","1","Sr8482net","730582210268","Tiny Friends Farm Stickles Hay & Herb","0","1.47","2.95","1","Small Animal","Treat","1","3","Glenkrag","38.71","23","0","0","0","01/01/1900 00:00:00","0"
"Wooden Fruit & Veg Chews","1","-","5016646639042","Wooden Fruit & Veg Chews","0","0.72","2.5","1","Small Animal","Toy","1","1","Glenkrag","64.58","23","0","0","0","01/01/1900 00:00:00","0"
"Wooden Gnaw Carrot Small x2","1","-","5016646639028","Wooden Gnaw Carrot Small x2","0","1.03","3.5","1","Small Animal","Toy","1","1","Glenkrag","63.8","23","0","0","0","01/01/1900 00:00:00","0"
"Beaphar Anti-Parasite Spot On (Rabbit/Guinea Pig)","1","B15342","8711231153428","Beaphar Anti-Parasite Spot On (Rabbit/Guinea Pig)","0","3.54","8","1","Small Animal","Medication","-1","3","R.F Canners","45.57","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Dwarf Hamster Harvest 700g","4","Burfp0002244f","5023861117507","Burgess Dwarf Hamster Harvest 700g","0","2.42","5.5","1","Small Animal","Food","2","6","R.F Canners","45.88","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Adult Rabbit With Mint 2kg","4","Burfp10005c","5023861111505","Burgess Excel Adult Rabbit With Mint 2kg","0","5","9","1","Small Animal","Food","4","8","R.F Canners","31.67","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Chamomile Feeding Hay 500g","1","BURFP100603","5023861118436","Burgess Excel Chamomile Feeding Hay 500g","0","2.6","4.5","1","Small Animal","Food","2","5","R.F Canners","28.93","23","1","1","1","20/11/2017 11:02:26","1"
"Burgess Excel Chinchilla 2kg","2","Burfp10045c","5023861116227","Burgess Excel Chinchilla 2kg","0","6","10.95","1","Small Animal","Food","4","4","R.F Canners","32.6","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Guinea Pig Nuggets Blackcurrant & Oregano 2kg","6","Burfp10025c","5023861116043","Burgess Excel Guinea Pig Nuggets Blackcurrant & Oregano 2kg","0","5.5","9.2","1","Small Animal","Food","4","4","R.F Canners","26.47","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Guinea Pig Nuggets Mint 10kg","1","-","5023861111918","Burgess Excel Guinea Pig Nuggets Mint 10kg","0","18.99","42.95","1","Small Animal","Food","-1","3","R.F Canners","45.62","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Guinea Pig Nuggets Mint 2kg","1","Burfp10020c","5023861111901","Burgess Excel Guinea Pig Nuggets Mint 2kg","0","5.5","9.2","1","Small Animal","Food","4","4","R.F Canners","26.47","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Nature Snacks Country Garden Herbs 120g","1","BG1618NET","5023861116180","Burgess Excel Nature Snacks Country Garden Herbs 120g","0","1.4","3.5","1","Small Animal","Food","3","3","R.F Canners","50.8","23","0","0","1","07/11/2017 13:03:32","1"
"Burgess Excel Nature Snacks Monutain Meadow Hearbs 120g","0","BG1764NET","5023861117644","Burgess Excel Nature Snacks Monutain Meadow Hearbs 120g","0","1.5","3.5","1","Small Animal","Treats","3","8","R.F Canners","47.29","23","0","0","2","07/11/2017 13:03:32","2"
"Burgess Excel Rabbit Adult Nuggets Oregano 2kg","0","Burfp10006c","5023861115862","Burgess Excel Rabbit Adult Nuggets Oregano 2kg","0","5","9","1","Small Animal","Food","4","4","R.F Canners","31.67","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Rabbit Junior Nuggets Mint 2kg","2","Burfp10010c","5023861112335","Burgess Excel Rabbit Junior Nuggets Mint 2kg","0","0.0000","9.95","1","Small Animal","Food","4","4","R.F Canners","100","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Rabbit Nuggets Mint 10kg","1","BUR623","5023861111512","Burgess Excel Rabbit Nuggets Mint 10kg","0","17.99","32.95","1","Small Animal","Food","1","1","R.F Canners","32.84","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Hamster Harvest 750g","0","Burfp000215","5023861117446","Burgess Hamster Harvest 750g","0","2.38","5.5","1","Small Animal","Dry Food","6","9","R.F Canners","46.77","23","2","2","2","20/11/2017 11:02:26","2"
"Country Value Guinea Pig Nuggets 1.5kg","0","BG2016NET","5023861120163","Country Value Guinea Pig Nuggets 1.5kg","0","2.48","5","1","Small Animal","","4","4","R.F Canners","38.99","23","1","1","1","17/11/2017 11:49:48","1"
"Country Value Rabbit Nuggets 1.5kg","2","Burfp40030bb4","5023861120132","Country Value Rabbit Nuggets 1.5kg","0","1.85","3.65","1","Small Animal","Food","4","12","R.F Canners","37.66","23","0","0","0","01/01/1900 00:00:00","0"
"Deluxe Bunny Bottle Large 600ml","4","Cl0193","5021689019300","Deluxe Bunny Bottle Large 600ml","0","1.06","3.95","1","Small Animal","Drinkers","3","3","R.F Canners","66.99","23","0","0","0","01/01/1900 00:00:00","0"
"Deluxe Bunny Bottle Midi 320ml","1","CL0192","5021689019201","Deluxe Bunny Bottle Midi 320ml","0","0.89","3","1","Small Animal","Drinkers","1","3","R.F Canners","63.51","23","0","0","0","01/01/1900 00:00:00","0"
"Deluxe Giant Bottle  1.1L","1","CL0194","5021689019409","Deluxe Giant Bottle  1.1L","0","2.14","6.5","1","Small Animal","Drinkers","2","3","R.F Canners","59.5","23","1","1","1","20/11/2017 15:34:04","1"
"Deluxe Hamster Bottle Small 150ml","1","CL0191","5021689019102","Deluxe Hamster Bottle Small 150ml","0","0.74","2.5","1","Small Animal","Drinkers","4","12","R.F Canners","63.59","23","0","0","0","01/01/1900 00:00:00","0"
"Johnsons Antibacterial Powder Small Animals 20g","5","0157","5000476110277","Johnsons Antibacterial Powder Small Animals 20g","0","2.41","6.95","1","Small Animal","Medication","-1","3","R.F Canners","57.35","23","0","0","0","01/01/1900 00:00:00","0"
"Vet IQ Nibblet Apple 30g","2","-","750826005566","Vet IQ Nibblet Apple 30g","0","0.73","2.95","1","Small Animal","Treat","1","3","R.F Canners","69.56","23","1","1","1","16/11/2017 16:02:20","1"
"Vet IQ Nibblots Berries 30g","3","-","750826005580","Vet IQ Nibblots Berries 30g","0","0.87","2.95","1","Small Animal","Treat","1","3","R.F Canners","63.73","23","0","0","0","01/01/1900 00:00:00","0"
"Vet IQ Nibblots Carrot 30g","3","-","750826005573","Vet IQ Nibblots Carrot 30g","0","0.92","2.95","1","Small Animal","Treat","1","3","R.F Canners","61.64","23","0","0","0","01/01/1900 00:00:00","0"
"Vit-Min Drops Rabbits,Guinea","1","J/K028","5000476110284","Vit-Min Drops Rabbits,Guinea","0","2.14","6.5","1","Small Animal","Medication","1","2","R.F Canners","59.5","23","0","0","0","01/01/1900 00:00:00","0"
